,Symbol,Price_Start,Price_End
0,OMAB.MX,10.07,103.0002
1,GAPB.MX,21.9315,190.8979
2,RCENTROA.MX,12.8409,6.0
3,HOMEX.MX,740.5,0.09
4,C.MX,432.5718,1457.6416
5,TIN.MX,217.615,161.8181
6,BBVA.MX,220.8344,104.1052
7,TEFN.MX,246.8904,133.4605
8,BHPN.MX,676.8349,916.1746
9,NOKN.MX,191.095,67.7535
10,SAPN.MX,543.3527,2526.145
11,VODN.MX,358.4343,361.0108
12,ULN.MX,300.5249,1062.2545
13,TS.MX,276.5345,865.2387
14,PBRN.MX,538.7828,288.6617
15,TLEVISACPO.MX,48.4021,41.263
16,OIBRQN.MX,854.8802,18.6515
17,ASURB.MX,47.2885,305.228
18,GRUMAB.MX,19.8162,175.1638
19,CEMEXCPO.MX,11.3369,7.1587
20,ICA.MX,30.816,1.4646
21,FRES.MX,164.0625,158.9319
22,SIDN.MX,297.9205,62.7773
23,GGBN.MX,103.8376,72.0649
24,GOLN.MX,1013.75,337.0
25,CBDN.MX,56.1061,95.0873
26,GFMULTIO.MX,5.7097,13.0
27,ACCELSAB.MX,6.8,19.9
28,ALFAA.MX,7.7682,14.4812
29,ALSEA.MX,8.8212,49.1499
30,AC.MX,24.7458,84.2471
31,AXTELCPO.MX,12.61,3.05
32,BAFARB.MX,12.5387,40.1097
33,BIMBOA.MX,19.1594,32.221
34,BOLSAA.MX,7.6613,32.11
35,CIEB.MX,3.7432,8.6
36,FEMSAUB.MX,42.1328,134.2453
37,COLLADO.MX,23.5,8.5
38,ARA.MX,6.9156,3.6308
39,CYDSASAA.MX,3.8569,21.8589
40,DINEA.MX,6.4956,11.3123
41,DINEB.MX,6.3454,10.9587
42,EDOARDOB.MX,0.63,0.456
43,LIVEPOL1.MX,50.3041,95.7362
44,ELEKTRA.MX,598.6445,1361.8544
45,CULTIBAB.MX,16.6342,12.5
46,CABLECPO.MX,32.5,56.0
47,BEVIDESB.MX,8.8483,17.0
48,FINDEP.MX,25.8714,8.0
49,GFNORTEO.MX,29.6709,78.8759
50,FEMSAUBD.MX,48.0417,157.2097
51,FRAGUAB.MX,108.0101,217.0025
52,GBMO.MX,4.7679,9.0221
53,LABB.MX,12.6149,15.2843
54,GIGANTE.MX,18.1848,35.41
55,GMEXICOB.MX,18.2023,40.6269
56,CIDMEGA.MX,13.7636,45.2
57,GCARSOA1.MX,15.8579,66.1513
58,GCC.MX,41.6323,97.5347
59,GFAMSAA.MX,25.0952,4.22
60,GFINBURO.MX,16.4848,23.05
61,GMD.MX,5.5788,17.5
62,GNP.MX,7.8111,31.5922
63,GPH1.MX,35.8016,46.228
64,POSADASA.MX,15.6233,38.0
65,GPROFUT.MX,4.2552,41.7652
66,VASCONI.MX,8.1621,24.955
67,HERDEZ.MX,12.2492,33.617
68,HIMEXSAA.MX,0.45,0.259
69,ICHB.MX,44.4259,87.8943
70,CERAMICB.MX,10.3609,44.0805
71,INVEXA.MX,24.1211,69.3054
